broker_name,review_slug,review_url,scrape_status,forex_broker,offers_cfds,classification_confidence,classification_reason,regulators,legal_entities,jurisdictions,source_category,needs_review,last_checked
ActivTrades,activtrades-review,https://brokerchooser.com/broker-reviews/activtrades-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 49 currency pairs.,Comissão do Mercado de Valores Mobiliários (CMVM) | Financial Conduct Authority (FCA) | The Securities Commission of the Bahamas,ActivTrades | ActivTrades Corp | ActivTrades Plc,European countries | Other countries | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Admirals (Admiral Markets),admirals-admiral-markets-review,https://brokerchooser.com/broker-reviews/admirals-admiral-markets-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 80 currency pairs.,Australian Securities and Investment Commission (ASIC) | Cyprus Securities and Exchange Commission (CySEC) | Estonian Financial Supervision Authority (EFSA) | Financial Conduct Authority (FCA) | Jordan Securities Commission (JSC),Admiral Markets AS | Admiral Markets AS Jordan Ltd | Admiral Markets Cyprus Ltd | Admiral Markets PTY Ltd | Admiral Markets UK Ltd,"EEA | Estonia, Romania, Czech Republic | Global",FULL_REVIEW,NO,2026-09-01T15:22:18Z
AJ Bell Youinvest,aj-bell-youinvest-review,https://brokerchooser.com/broker-reviews/aj-bell-youinvest-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,FCA,AJ Bell Securities Limited,United Kingdom,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Alior Bank,alior-bank-review,https://brokerchooser.com/broker-reviews/alior-bank-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Komisja Nadzoru Finansowego (KNF),Alior Bank S.A. – Biuro Maklerskie,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Ally Invest,ally-invest-review,https://brokerchooser.com/broker-reviews/ally-invest-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,"Commodity Futures Trading Commission (CFTC) | Securities and Exchange Commission (SEC), Financial Industry Regulatory Authority (FINRA)",Ally Invest Forex LLC | Ally Invest Securities LLC,US (forex) | US (other than forex),FULL_REVIEW,NO,2026-09-01T15:22:18Z
Alpaca Trading,alpaca-trading-review,https://brokerchooser.com/broker-reviews/alpaca-trading-review,SCRAPED,UNKNOWN,UNKNOWN,LOW,No conclusive forex availability field was extracted.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
AMP Futures,amp-futures-review,https://brokerchooser.com/broker-reviews/amp-futures-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
ARMO Broker,armo-broker-review,https://brokerchooser.com/broker-reviews/armo-broker-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Central Bank of Ireland,"Interactive Brokers Ireland Limited (IBIE), ARMO Broker LTD",All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Avafutures,avafutures-review,https://brokerchooser.com/broker-reviews/avafutures-review,SCRAPE_FAILED,UNKNOWN,UNKNOWN,LOW,"Review URL was discovered, but the page scrape failed.",,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
AvaTrade,avatrade-review,https://brokerchooser.com/broker-reviews/avatrade-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 53 currency pairs.,"Abu Dhabi Global Market Authorities Financial Services Regulatory Authority (ADGM – FSRA) | Australian Securities and Investments Commission (ASIC) | B.V.I Financial Services Commission | Central Bank of Ireland | Financial Sector Conduct Authority (FSCA) | Israel Securities Authority (ISA) | Japanese Financial Services Agency (FSA), Financial Futures Association of Japan (FFAJ)",ATrade Ltd | AVA Trade EU Ltd | AVA Trade Ltd | Ava Capital Markets Australia Pty Ltd | Ava Capital Markets Pty | Ava Trade Japan K.K. | AvaTrade Middle East Ltd,Australia | EU | International clients | Israel | Japan | Middle East | South Africa,FULL_REVIEW,NO,2026-09-01T15:22:18Z
