broker_name,website,regulator_count,regulators,hq_country,founded_year,license_status,notes,website_enriched,research_tool_status,research_tool_vendors,research_tool_notes,research_tool_pages_checked
ATFX,https://www.atfx.com/pt/,16,FCA|ASIC|CySEC|FSCA|FSA Seychelles|MFSA|FSMA|SERC|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA|FSC Mauritius,United Kingdom,2014,FSA: Offshore Regulation,"Institution | Platforms: MT4, MT5",YES,competitor,Trading Central,"Strong, unambiguous Trading Central integration referenced repeatedly in nav, tabs, and image filenames.",https://www.atfx.com/pt/
Plus500,https://www.plus500.com,16,FCA|ASIC|CySEC|DFSA|FSA Seychelles|MFSA|ASF|SCB|FMA|FSA Denmark|AFM|MAS|KNF|CNMV|CIRO|BAPPEBTI,Israel,2008,Regulated,"Institutional, Retail | Platforms: Plus500 WebTrader, Plus500 Windows Trader, Plus500 mobile app",YES,none-found,,"No mentions of Trading Central, Autochartist, or Acuity Trading found in homepage markdown/rawHtml (text or hrefs).",https://www.plus500.com
Axi,https://www.axi.com/int,12,FCA|ASIC|CySEC|DFSA|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|FIN-FSA|CNMV,Australia,2007,Regulated,"Institutional, Retail | Platforms: Copy Trading App, MT4, MT4 WebTrader",YES,autochartist,Autochartist,"Strong, unambiguous Autochartist integration with dedicated tools page.",https://www.axi.com/int
B2BROKER,https://b2broker.com/,10,CySEC|FSCA|DFSA|FSA Seychelles|MFSA|ASF|FMA|FSA Denmark|CNMV|FSC Mauritius,Cyprus,2017,FSA: Offshore Regulation,"multi-asset liquidity provider | Platforms: Prime XM, oneZero, cTrader, FIX API, Bridge for MT4/MT5",YES,none-found,,"No matches. B2Broker is a technology/liquidity provider itself, not a retail broker storefront, so a 'Research Tools' page is less applicable.",https://b2broker.com/
CFI,https://en.cfi.trade/,14,FCA|CySEC|FSCA|FSA Seychelles|MFSA|FSMA|ASF|CBAR|FSA Denmark|AFM|VFSC|KNF|CNMV|FSC Mauritius,Mauritius,2016,FSA: Offshore Regulation; VFSC: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5, Trading App, cTrader, Multi-Asset, TradingView",YES,competitor,Trading Central,Listed URL en.cfi.trade returned Cloudflare 1014 as expected per pilot notes; fallback cfi.trade/en worked and confirmed Trading Central integration.,"https://en.cfi.trade/ (blocked, Cloudflare error 1014)|https://cfi.trade/en (success, per pilot fallback)"
EC markets,https://www.ecmarkets.com/,5,FCA|ASIC|FSCA|FSA Seychelles|FSC Mauritius,United Kingdom,2010,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4, Mobile, Webtrader",YES,acuity,Acuity Trading,"AMBIGUOUS/LOW CONFIDENCE: only CSS class names containing 'acuity' were found (no visible text, no acuitytrading.com/acuity.trade domain reference, no 'Acuity Trading' text). Could indicate an Acuity Trading widget/download embedded on a specific landing page template, or could be an unrelated generic class name. Flagged per FIX #2 loose-recall instruction but needs manual verification (e.g., visiting the actual landing page referenced by 'hold-trade-lp').",https://www.ecmarkets.com/
eToro,https://www.etoro.com/,16,FCA|ASIC|CySEC|FSA Seychelles|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|MAS|ADGM|FINRA|KNF|CNMV|FIN-FSA,United Kingdom,2007,FSA: Offshore Regulation,"Retail, Institutional | Platforms: eToro proprietary platform, MetaTrader 4",YES,none-found,,No matches found. eToro is largely a social/copy-trading platform; page is JS-heavy but rawHtml was still captured.,https://www.etoro.com/
Exness,https://www.exness.com/a/11817674,12,FCA|CySEC|FSCA|FSA Seychelles|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|CNMV|FIN-FSA,Cyprus,2008,FSA: Offshore Regulation,"Market Making (MM) | Platforms: MT4, MT5, Exness Terminal, Exness Trade app",YES,none-found,,No matches found.,https://www.exness.com/a/11817674
TRADE NATION,https://tradenation.com/,5,FCA|ASIC|FSCA|FSA Seychelles|SCB,United Kingdom,2014,FSA: Offshore Regulation; SCB: Offshore Regulation,"Retail, Institutional | Platforms: MT4, Trade Nation Platform, TN Trader, TradingView",YES,none-found,,No matches found.,https://tradenation.com/
XM,https://www.xm.com,13,ASIC|CySEC|FSCA|DFSA|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FSC Belize,Cyprus,2009,Regulated,"Institutional, Retail | Platforms: MT4, MT5, XM App",YES,competitor,Trading Central,Confirmed via embedded i18n JSON strings on homepage (SEO descriptions + homepage card copy).,https://www.xm.com
