broker_name,broker_domain,broker_url,country_or_primary_market,relationship_status,confidence_score,trading_central_products,integration_type,evidence_summary,primary_evidence_url,primary_evidence_title,primary_evidence_date,additional_evidence_urls,first_evidence_date,most_recent_evidence_date,relationship_description,relationship_type,source_type,evidence_excerpt,broker_group,broker_brand,research_notes,date_checked
ActivTrades,activtrades.com,https://www.activtrades.com,United Kingdom (global),CONFIRMED_ACTIVE,87,Technical Views; Market Buzz,MT4; MT5; BROKER_WEB_PLATFORM,"ActivTrades' own dedicated Trading Central page describes 'Technical Views®' trading plans for MT4/MT5 and Market Buzz; Forex Peace Army's review corroborates a $1,000 minimum-deposit tier for full plugin access with in-platform access via ActivTrader.",https://www.activtrades.com/en/tradingcentral,Trading Central - ActivTrades,,https://www.forexpeacearmy.com/forex-reviews/3665/activtrades-forex-brokers,,2026-08-04,ActivTrades integrates Trading Central's Technical Views and Market Buzz into MT4/MT5 and its own ActivTrader platform.,PRODUCT_INTEGRATION,Broker website + established review site (Forex Peace Army),"""Technical Views® Concise, actionable trading plans for the MT4 and MT5 platforms, built on Trading Central's technical analysis.""",ActivTrades,ActivTrades,,2026-09-01
Admiral Markets (Admirals),admiralmarkets.com,https://www.admiralmarkets.com,"Estonia/Cyprus (EEA, global)",CONFIRMED_ACTIVE,88,Technical Insight; Forex Featured Ideas,MT4; MT5,Admirals' own account-types page describes a Trading Central application for automated chart-pattern opportunity search; Finance Magnates (2019) independently reported Admiral Markets adding Trading Central's Technical Insight and Featured Ideas to MetaTrader 4/5 Supreme Edition.,https://admiralmarkets.com/start-trading/account-types,Account Types - Admiral Markets,,https://www.financemagnates.com/forex/brokers/admiral-markets-adds-trading-centrals-tools-to-metatrader/; https://www.forexbrokers.com/guides/trading-central-brokers,2019-04-25,2026,Admiral Markets (Admirals) added Trading Central's Technical Insight and Featured Ideas to its MetaTrader Supreme Edition plugin in 2019 and continues to describe the integration on its own site.,PRODUCT_INTEGRATION,Broker website + trade press (Finance Magnates),"""Trading Central – the application providing an automated search for trading opportunities based on emerging chart patterns.""",Admiral Markets (Admirals),Admiral Markets (Admirals),,2026-09-01
Aetos Capital Group,aetoscg.com,https://www.aetoscg.com,Global,CONFIRMED_ACTIVE,88,"Live technical commentary (multi-region: UK, Australia, Indonesia, China)",MT4; BROKER_WEB_PLATFORM,"AETOS runs dedicated, regularly-updated Trading Central live-commentary pages across at least four regional/language sites (UK, Australia, Indonesia, Chinese), each explicitly crediting 'TRADING CENTRAL' analysts (e.g. Head of Research Remy Gaussens).",https://www.aetoscg.com/uk/content/trading-central-analysis-detail.html,Trading Central Analysis - AETOS UK,2026-08-22,https://www.aetoscg.com/en-au/tc-content.html; https://www.aetoscg.com/id/tc-content.html; https://www.aetoscg.com/zh-au/tc-content.html; https://www.aetoscg.com/uk/mt4.html,,2026,A single client-submitted review references Trading Central technical analysis being available through Aetos Capital Group; not corroborated by a broker-owned page.,PRODUCT_INTEGRATION,Broker website (multi-region dedicated pages),"""Head of Research at TRADING CENTRAL: Remy GAUSSENS. TRADING CENTRAL is governed by the Code of Conduct of ANACOFI-CIF...""",Aetos Capital Group,Aetos Capital Group,,2026-09-01
Alpari,alpari.com,https://www.alpari.com,Global (Saint Vincent and the Grenadines / historically Russia),UNCLEAR,55,Technical analysis (unspecified),UNKNOWN,"A Chinese-language financial trade-press article lists Alpari among 'global major brokers' (alongside FOREX.com and FX Solutions) that offer Trading Central, but with no broker-specific detail or dated confirmation.",https://www.fxshell.com/article/2898,ForexTime为其客户提供Trading Central技术分析 - 汇讯网,,,,,Alpari is named in passing as a Trading Central-offering broker in a third-party Chinese trade-press article; not independently confirmed.,UNKNOWN,"Trade press (brief mention, Chinese-language)","""全球主要经纪商如嘉盛集团、Alpari、FX Solutions等都为其..."" (global major brokers such as FOREX.com, Alpari, FX Solutions, etc.)",Alpari,Alpari,"Very thin evidence (a brief name-drop, no date, no product detail) — needs direct confirmation on alpari.com before treating as established.",2026-09-01
ATFX,atfx.com,https://www.atfx.com,United Kingdom / global (regional pages incl. South Africa),CONFIRMED_ACTIVE,90,Technical analysis / technical strategies; Alpha Generation,BROKER_WEB_PLATFORM; MT4; MT5,"ATFX runs a dedicated 'Trading Central' education-and-tools page stating it 'has partnered with Trading Central', with a downloadable MT4/MT5 analysis-indicators package.",https://www.atfx.com/en/education-and-tools/trading-central,Trading Central - Fundamental & Technical Analysis Signals - ATFX,,https://www.atfx.com/en-za/education-and-tools/trading-central,,2026,"ATFX partners with Trading Central for technical/fundamental analysis signals covering forex, metals, commodities and indices, with MT4/MT5 indicator downloads.",PRODUCT_INTEGRATION,"Broker website (dedicated page, multiple regions)","""ATFX has partnered with Trading Central the acclaimed world's top tier technical analysis resource.""",ATFX,ATFX,,2026-09-01
ATFX Indonesia,atfxidn.com,https://www.atfxidn.com,Indonesia,CONFIRMED_ACTIVE,82,Technical strategies; Daily newsletters; MT4 Indicators; Research platform,MT4; RESEARCH_PORTAL; EDUCATIONAL_CONTENT,"ATFX's Indonesia-localized site runs a dedicated Trading Central page offering daily newsletters, MT4 indicator downloads, and access to Trading Central's research platform.",https://www.atfxidn.com/en/trading-central/,Analyze Market with Trading Central | Beginner's Guide - ATFX,,https://www.atfx.com/en/education-and-tools/trading-central,2023,2026 (page assets dated 2023),"ATFX's Indonesian entity offers the same Trading Central suite (newsletters, MT4 indicators, research platform) as its global site.",PRODUCT_INTEGRATION,Broker website (regional page),"""ATFX has partnered with Trading Central ... Subscribe to Trading Central's daily newsletters; Download the MT4 Indicators.""",ATFX,ATFX Indonesia,Regional ATFX domain folded under the same broker_group as the main atfx.com record.,2026-09-01
AvaTrade,avatrade.com,https://www.avatrade.com,Ireland (global),CONFIRMED_ACTIVE,95,Economic Calendar/Insight; Market Buzz; AI-driven Trading Signals; Featured Ideas; Alpha Generation,BROKER_WEB_PLATFORM; MOBILE_APP; MT4; MT5,"AvaTrade runs a dedicated 'Trading Central' page describing access across WebTrader, the AvaTrade App, and the Alpha Generation plug-in for MT4/MT5, at no additional cost.",https://www.avatrade.com/trading-info/trading-central,Get A 360° Market View with Trading Central - AvaTrade,,https://www.avatrade.com.au/trading-info/trading-central,,2026,"AvaTrade offers Trading Central's Economic Calendar, Market Buzz, AI-driven trading signals and Featured Ideas across WebTrader, its mobile app, and MT4/MT5 via the Alpha Generation plug-in.",PRODUCT_INTEGRATION,"Broker website (dedicated product page, multiple regional domains)","""Seamlessly accessible across WebTrader, the AvaTrade app, or via the Alpha Generation plug-in for MT4 and MT5.""",AvaTrade,AvaTrade,avatrade.com.au (Australia) carries the same page; folded in as regional domain.,2026-09-01
Axiance,axiance.com,https://www.axiance.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists Axiance as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,Axiance is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""Axiance"" row, 'Trading Central' column, brokersome.com comparison table.",Axiance,Axiance,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
Bank of China (Hong Kong) — PickAStock,bochk.com,https://www.bochk.com,Hong Kong,LIKELY_ACTIVE,74,PickAStock (white-labeled pattern/technical analysis + ratings),MOBILE_APP; EMBEDDED_WIDGET,"Trading Central's own blog names BOCHK's 'PickAStock' stock-analysis service (44,000+ customers) as a Trading Central-powered feature; BOCHK's own site confirms PickAStock is live but does not itself display 'Trading Central' branding on the pages checked.",https://www.tradingcentral.com/blog/bochks-pickastock-service-recorded-over-44-000-customers,"BOCHK's ""PickAStock"" service recorded over 44,000 customers",2022-11-04,https://www.bochk.com/dam/investment/securities/en.html; https://www.bochk.com/dam/wm/digital-banking_en.html,2022-11-04,2022-11-04,Bank of China (Hong Kong) offers a white-labeled stock-analysis feature ('PickAStock') inside its banking/investment app that Trading Central's own press identifies as its technology.,CUSTOMER,Trading Central press release + broker's own live product page,"""BOCHK's 'PickAStock' service recorded over 44,000 customers.""",Bank of China (Hong Kong) — PickAStock,BOCHK PickAStock,"White-label integration — BOCHK's public pages do not name Trading Central directly, so classified LIKELY_ACTIVE rather than CONFIRMED_ACTIVE pending a page that shows both.",2026-09-01
BDSwiss,bdswiss.com,https://www.bdswiss.com,Not specified by cited source (global forex/CFD broker),CONFIRMED_ACTIVE,85,Trading central (automated investment analytics & analyst research),UNKNOWN,BDSwiss names 'Trading central' on its own product page and inside a regulated entity's Key Information Document (KID); also appears on its Arabic help-center pages.,https://global.bdswiss.com/invest-plus-stocks,Invest Plus Stocks - BDSwiss,2026-08-28,https://mau.bdswiss.com/key-information-document-2; https://mau.bdswiss.com/ar/help-center/general-account-ar/,2026-08-28,2026,BDSwiss is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Broker website + regulatory disclosure (Key Information Document),"""Trading central. Automated investment analytics & analyst research""",BDSwiss,BDSwiss,Notable as the one case found where Trading Central is named inside a regulatory KID rather than only a marketing page.,2026-09-01
